State,Value,Timestamp,Datetime,Formatted Date
UTTAR-PRADESH,21129,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
CHANDIGARH,180,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
HARYANA,7123,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
HIMACHAL,1090,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
J & K,2247,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
PUNJAB,5494,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
RAJASTHAN,9675,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
UTTARAKHAND,1747,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
UTTAR-PRADESH,21031,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
CHANDIGARH,178,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
HARYANA,6985,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
HIMACHAL,1048,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
J & K,2152,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
PUNJAB,5461,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
RAJASTHAN,9558,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
UTTARAKHAND,1781,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
UTTAR-PRADESH,20799,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
CHANDIGARH,175,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
HARYANA,7002,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
HIMACHAL,1081,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
J & K,2231,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
PUNJAB,5438,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
RAJASTHAN,9225,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
UTTARAKHAND,1714,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
UTTAR-PRADESH,20750,1713030107.6608047,2024-04-13 23:11:47.660805,2024-04-13 23:11:47
CHANDIGARH,169,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
HARYANA,6869,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
HIMACHAL,1054,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
J & K,2028,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
PUNJAB,5421,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
RAJASTHAN,9360,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
UTTARAKHAND,1710,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
UTTAR-PRADESH,20616,1713031008.061465,2024-04-13 23:26:48.061465,2024-04-13 23:26:48
CHANDIGARH,167,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
HARYANA,6788,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
HIMACHAL,1037,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
J & K,1960,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
PUNJAB,5376,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
RAJASTHAN,9313,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
UTTARAKHAND,1682,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
UTTAR-PRADESH,20449,1713031938.5986297,2024-04-13 23:42:18.598630,2024-04-13 23:42:18
CHANDIGARH,166,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
HARYANA,6683,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
HIMACHAL,1025,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
J & K,1898,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
PUNJAB,5339,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
RAJASTHAN,9267,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
UTTARAKHAND,1625,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
UTTAR-PRADESH,20216,1713032807.5070326,2024-04-13 23:56:47.507033,2024-04-13 23:56:47
CHANDIGARH,162,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
HARYANA,6595,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
HIMACHAL,1012,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
J & K,1910,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
PUNJAB,5251,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
RAJASTHAN,9179,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
UTTARAKHAND,1582,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
UTTAR-PRADESH,19965,1713033707.7031698,2024-04-14 00:11:47.703170,2024-04-14 00:11:47
CHANDIGARH,162,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
HARYANA,6599,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
HIMACHAL,997,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
J & K,1854,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
PUNJAB,5254,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
RAJASTHAN,9192,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
UTTARAKHAND,1549,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
UTTAR-PRADESH,19776,1713034607.307662,2024-04-14 00:26:47.307662,2024-04-14 00:26:47
CHANDIGARH,161,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
HARYANA,6582,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
HIMACHAL,1032,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
J & K,1728,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
PUNJAB,5221,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
RAJASTHAN,9163,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
UTTARAKHAND,1599,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
UTTAR-PRADESH,19678,1713035507.2066498,2024-04-14 00:41:47.206650,2024-04-14 00:41:47
CHANDIGARH,159,1713036407.5971477,2024-04-14 00:56:47.597148,2024-04-14 00:56:47
HARYANA,6510,1713036407.5971477,2024-04-14 00:56:47.597148,2024-04-14 00:56:47
HIMACHAL,1041,1713036407.5971477,2024-04-14 00:56:47.597148,2024-04-14 00:56:47
J & K,1711,1713036407.5971477,2024-04-14 00:56:47.597148,2024-04-14 00:56:47
