state,load_value,time
CHANDIGARH,151,1713053507.6114342
HARYANA,6409,1713053507.6114342
HIMACHAL,1265,1713053507.6114342
J & K,2013,1713053507.6114342
PUNJAB,5987,1713053507.6114342
RAJASTHAN,9243,1713053507.6114342
UTTARAKHAND,1690,1713053507.6114342
UTTAR-PRADESH,17977,1713053507.6114342
CHANDIGARH,154,1713054438.3156712
HARYANA,6508,1713054438.3156712
HIMACHAL,1283,1713054438.3156712
J & K,2135,1713054438.3156712
PUNJAB,6178,1713054438.3156712
RAJASTHAN,9380,1713054438.3156712
UTTARAKHAND,1698,1713054438.3156712
UTTAR-PRADESH,17788,1713054438.3156712
CHANDIGARH,155,1713055307.7165399
HARYANA,6282,1713055307.7165399
HIMACHAL,1378,1713055307.7165399
J & K,2094,1713055307.7165399
PUNJAB,6300,1713055307.7165399
RAJASTHAN,9622,1713055307.7165399
UTTARAKHAND,1730,1713055307.7165399
UTTAR-PRADESH,17054,1713055307.7165399
CHANDIGARH,160,1713056238.6089418
HARYANA,6341,1713056238.6089418
HIMACHAL,1359,1713056238.6089418
J & K,2185,1713056238.6089418
PUNJAB,6417,1713056238.6089418
RAJASTHAN,9887,1713056238.6089418
UTTARAKHAND,1776,1713056238.6089418
UTTAR-PRADESH,16594,1713056238.6089418
CHANDIGARH,164,1713057107.2053933
HARYANA,5988,1713057107.2053933
HIMACHAL,1351,1713057107.2053933
J & K,2147,1713057107.2053933
PUNJAB,6484,1713057107.2053933
RAJASTHAN,10174,1713057107.2053933
UTTARAKHAND,1698,1713057107.2053933
UTTAR-PRADESH,16347,1713057107.2053933
CHANDIGARH,165,1713058007.603039
HARYANA,6024,1713058007.603039
HIMACHAL,1430,1713058007.603039
J & K,2205,1713058007.603039
PUNJAB,6565,1713058007.603039
RAJASTHAN,10324,1713058007.603039
UTTARAKHAND,1704,1713058007.603039
UTTAR-PRADESH,16214,1713058007.603039
CHANDIGARH,170,1713058907.2091324
HARYANA,5564,1713058907.2091324
HIMACHAL,1467,1713058907.2091324
J & K,2167,1713058907.2091324
PUNJAB,6611,1713058907.2091324
RAJASTHAN,10435,1713058907.2091324
UTTARAKHAND,1714,1713058907.2091324
UTTAR-PRADESH,15923,1713058907.2091324
CHANDIGARH,173,1713059839.0615394
HARYANA,5451,1713059839.0615394
HIMACHAL,1468,1713059839.0615394
J & K,2186,1713059839.0615394
PUNJAB,6628,1713059839.0615394
RAJASTHAN,10622,1713059839.0615394
UTTARAKHAND,1696,1713059839.0615394
UTTAR-PRADESH,15757,1713059839.0615394
CHANDIGARH,176,1713060707.7601366
HARYANA,5412,1713060707.7601366
HIMACHAL,1548,1713060707.7601366
J & K,2236,1713060707.7601366
PUNJAB,6640,1713060707.7601366
RAJASTHAN,10883,1713060707.7601366
UTTARAKHAND,1712,1713060707.7601366
UTTAR-PRADESH,15721,1713060707.7601366
CHANDIGARH,179,1713061607.9695358
HARYANA,5340,1713061607.9695358
HIMACHAL,1506,1713061607.9695358
J & K,2254,1713061607.9695358
PUNJAB,6557,1713061607.9695358
RAJASTHAN,10917,1713061607.9695358
UTTARAKHAND,1656,1713061607.9695358
UTTAR-PRADESH,15763,1713061607.9695358
CHANDIGARH,180,1713062559.021233
HARYANA,4994,1713062559.021233
HIMACHAL,1401,1713062559.021233
J & K,2281,1713062559.021233
PUNJAB,6483,1713062559.021233
RAJASTHAN,10865,1713062559.021233
UTTARAKHAND,1656,1713062559.021233
UTTAR-PRADESH,15675,1713062559.021233
CHANDIGARH,182,1713063407.930205
HARYANA,4917,1713063407.930205
HIMACHAL,1415,1713063407.930205
J & K,2307,1713063407.930205
PUNJAB,6555,1713063407.930205
RAJASTHAN,10981,1713063407.930205
UTTARAKHAND,1656,1713063407.930205
UTTAR-PRADESH,15769,1713063407.930205
CHANDIGARH,184,1713064307.6351054
HARYANA,4778,1713064307.6351054
HIMACHAL,1437,1713064307.6351054
J & K,2355,1713064307.6351054
PUNJAB,6427,1713064307.6351054
RAJASTHAN,11073,1713064307.6351054
UTTARAKHAND,1611,1713064307.6351054
UTTAR-PRADESH,15930,1713064307.6351054
CHANDIGARH,182,1713065207.128765
HARYANA,4737,1713065207.128765
HIMACHAL,1439,1713065207.128765
J & K,2340,1713065207.128765
PUNJAB,6348,1713065207.128765
RAJASTHAN,10632,1713065207.128765
UTTARAKHAND,1607,1713065207.128765
UTTAR-PRADESH,15830,1713065207.128765
CHANDIGARH,172,1713066139.0719988
HARYANA,4568,1713066139.0719988
HIMACHAL,1448,1713066139.0719988
J & K,2388,1713066139.0719988
PUNJAB,6107,1713066139.0719988
RAJASTHAN,10897,1713066139.0719988
UTTARAKHAND,1582,1713066139.0719988
UTTAR-PRADESH,15915,1713066139.0719988
CHANDIGARH,170,1713067007.9764779
HARYANA,4556,1713067007.9764779
